x	y	z
0.124070	0.010997	0.021942
0.124070	0.010991	0.021954
0.124071	0.010983	0.021964
0.124072	0.010974	0.021974
0.124073	0.010963	0.021982
0.124074	0.010952	0.021989
0.124075	0.010940	0.021994
0.124076	0.010927	0.021998
0.124077	0.010914	0.022000
0.124078	0.010900	0.022000
0.124079	0.010887	0.021998
